Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Greece,GRC,..,8.31639289855957,7.68333673477173,8.05513381958008,8.03267192840576,8.45666408538818,8.35541915893555,7.53919172286987,7.11189556121826,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Grenada,GRD,..,..,9.90250015258789,..,14.0411701202393,10.0805730819702,..,..,10.0594644546509,9.87272262573242,14.3592510223389,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Guatemala,GTM,..,..,20.3962574005127,20.1820964813232,20.0077438354492,20.3894577026367,20.36159324646,18.8881053924561,19.3832302093506,18.9399223327637,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Guinea,GIN,..,15.195969581604,11.5987796783447,15.7688598632812,13.3767900466919,14.8701200485229,12.4053602218628,14.290060043335,11.5016679763794,11.9496955871582,10.0269184112549,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Guyana,GUY,..,17.6568393707275,17.9194202423096,18.8135395050049,17.7340602874756,16.1520805358887,..,..,..,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Haiti,HTI,..,..,14.5677795410156,13.2331695556641,14.6950197219849,14.4909696578979,12.8616704940796,10.0041093826294,16.1069355010986,13.124044418335,11.2308111190796,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Honduras,HND,..,..,24.6445598602295,..,..,23.1551094055176,..,..,..,..,15.3722801208496,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,"Hong Kong SAR, China",HKG,..,..,16.783073425293,17.0466003417969,17.836483001709,19.6801109313965,17.4856204986572,12.821702003479,14.8568267822266,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Hungary,HUN,..,11.2330541610718,10.3242197036743,10.6055021286011,10.8394899368286,10.8592433929443,10.1927442550659,9.3338794708252,10.3632917404175,..,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Iceland,ISL,..,15.5320138931274,15.6150579452515,14.3981485366821,15.8099613189697,15.9900131225586,16.135856628418,15.8758506774902,15.4063129425049,14.8986892700195,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,India,IND,..,16.7305107116699,16.3342304229736,17.1553020477295,13.5492553710938,13.0661878585815,14.9984302520752,14.9909858703613,14.6473617553711,14.1554746627808,..,..
"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,Indonesia,IDN,..,..,16.7138710021973,21.078784942627,16.1104793548584,16.7957096099854,17.33811378479,17.9436836242676,16.0678157806396,13.9326143264771,..,..
