,Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
67,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Finland,FIN,..,3.24137997627258,2.87195992469788,2.72442007064819,2.72786998748779,2.75748991966248,2.79960989952087,2.91243004798889,2.98850011825562,2.96468997001648,..,..
68,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,France,FRA,..,2.09346008300781,2.2270200252533,2.22237992286682,2.1988799571991,2.19666004180908,2.19179010391235,2.27464008331299,2.21808004379272,2.23311996459961,..,..
69,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,French Polynesia,PYF,..,..,..,..,,,,,,,..,..
70,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gabon,GAB,..,..,..,..,,,,,,,..,..
71,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,"Gambia, The",GMB,..,..,..,..,0.0693299993872643,0.0693299993872643,0.0693299993872643,0.0693299993872643,0.0693299993872643,0.0693299993872643,..,..
72,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Georgia,GEO,..,0.215299993753433,0.293969988822937,0.280250012874603,0.266449987888336,0.275730013847351,0.281969994306564,0.297650009393692,0.248750001192093,0.234699994325638,0.252829998731613,..
73,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Germany,DEU,..,2.40982007980347,2.9337899684906,2.94039011001587,3.04710006713867,3.11011004447937,3.16701006889343,3.13136005401611,3.12881994247437,3.13235998153687,..,..
74,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Ghana,GHA,..,..,..,..,,,,,,,..,..
75,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Gibraltar,GIB,..,..,..,..,,,,,,,..,..
76,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greece,GRC,..,..,0.966050028800964,1.00529003143311,1.15227997303009,1.21370995044708,1.27498996257782,1.51148998737335,1.45782005786896,1.48596000671387,..,..
77,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Greenland,GRL,..,..,..,..,,,,,,,..,..
78,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Grenada,GRD,..,..,..,..,,,,,,,..,..
79,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,Guam,GUM,..,..,..,..,,,,,,,..,..
